department,date,income
Массаж,2025-01-27,17691.25
СМ,2025-01-27,5715.0
ТЗ,2025-01-27,128992.25
БК,2025-01-28,7166.25
ГП,2025-01-28,54717.0
ДЦ,2025-01-28,8857.75
Массаж,2025-01-28,24539.5
Мероприятия ФД,2025-01-28,15000.0
СМ,2025-01-28,3600.0
ТЗ,2025-01-28,125329.9
БК,2025-01-29,7938.75
ГП,2025-01-29,28074.5
ДЦ,2025-01-29,20919.5
Массаж,2025-01-29,37299.25
СМ,2025-01-29,2700.0
ТЗ,2025-01-29,132488.0
БК,2025-01-30,2828.75
ГП,2025-01-30,56082.25
ДЦ,2025-01-30,14253.0
Массаж,2025-01-30,21016.25
СМ,2025-01-30,5877.5
ТЗ,2025-01-30,124496.65
БК,2025-01-31,4680.0
ГП,2025-01-31,54965.0
ДЦ,2025-01-31,16126.5
Массаж,2025-01-31,7635.0
СМ,2025-01-31,6750.0
ТЗ,2025-01-31,138947.25
БК,2025-02-01,1275.0
ГП,2025-02-01,19843.0
ДЦ,2025-02-01,6430.0
Массаж,2025-02-01,1955.0
Мероприятия ФД,2025-02-01,550.0
СМ,2025-02-01,2700.0
ТЗ,2025-02-01,66009.75
БК,2025-02-02,1402.5
ГП,2025-02-02,17607.5
ДЦ,2025-02-02,3696.0
Массаж,2025-02-02,14945.0
Мероприятия ФД,2025-02-02,550.0
СМ,2025-02-02,2778.75
ТЗ,2025-02-02,18807.5
БК,2025-02-03,3430.0
ГП,2025-02-03,50152.0
ДЦ,2025-02-03,16731.0
Массаж,2025-02-03,27541.0
Мероприятия ФД,2025-02-03,15550.0
СМ,2025-02-03,4728.75
ТЗ,2025-02-03,104624.0
БК,2025-02-04,4255.0
ГП,2025-02-04,59653.25
ДЦ,2025-02-04,16608.5
Массаж,2025-02-04,25077.5
Мероприятия ФД,2025-02-04,15000.0
СМ,2025-02-04,6678.75
ТЗ,2025-02-04,120696.0
БК,2025-02-05,4645.0
ГП,2025-02-05,41543.25
ДЦ,2025-02-05,17456.5
Массаж,2025-02-05,33480.0
СМ,2025-02-05,3585.0
ТЗ,2025-02-05,111129.75
БК,2025-02-06,4231.25
ГП,2025-02-06,58358.25
ДЦ,2025-02-06,7227.0
Массаж,2025-02-06,16925.0
СМ,2025-02-06,3753.75
ТЗ,2025-02-06,127485.0
БК,2025-02-07,5771.25
ГП,2025-02-07,40127.0
ДЦ,2025-02-07,19542.0
Массаж,2025-02-07,25945.0
СМ,2025-02-07,2925.0
ТЗ,2025-02-07,110231.5
БК,2025-02-08,5482.5
ГП,2025-02-08,25871.25
ДЦ,2025-02-08,8875.0
Массаж,2025-02-08,12179.25
Мероприятия ФД,2025-02-08,1100.0
СМ,2025-02-08,975.0
ТЗ,2025-02-08,69546.5
БК,2025-02-09,2725.0
ГП,2025-02-09,20875.25
ДЦ,2025-02-09,1355.0
Массаж,2025-02-09,5628.0
Мероприятия ФД,2025-02-09,-550.0
СМ,2025-02-09,975.0
ТЗ,2025-02-09,28480.5
БК,2025-02-10,5537.5
ГП,2025-02-10,49305.5
ДЦ,2025-02-10,16168.0
Массаж,2025-02-10,38525.0
Мероприятия ФД,2025-02-10,1100.0
СМ,2025-02-10,5557.5
ТЗ,2025-02-10,130660.0
БК,2025-02-11,12141.25
ГП,2025-02-11,59265.0
ДЦ,2025-02-11,17313.25
Массаж,2025-02-11,29280.0
СМ,2025-02-11,1950.0
ТЗ,2025-02-11,109795.15
БК,2025-02-12,9825.0
ГП,2025-02-12,50196.0
ДЦ,2025-02-12,20961.0
Массаж,2025-02-12,19985.5
Мероприятия ФД,2025-02-12,550.0
СМ,2025-02-12,5036.25
ТЗ,2025-02-12,136540.5
БК,2025-02-13,13691.25
ГП,2025-02-13,63026.0
ДЦ,2025-02-13,14399.0
Массаж,2025-02-13,19505.0
Мероприятия ФД,2025-02-13,550.0
СМ,2025-02-13,4241.25
ТЗ,2025-02-13,113275.25
БК,2025-02-14,5490.0
ГП,2025-02-14,50074.5
ДЦ,2025-02-14,15010.0
Массаж,2025-02-14,20570.0
Мероприятия ФД,2025-02-14,17000.0
СМ,2025-02-14,4387.5
ТЗ,2025-02-14,117914.5
ГП,2025-02-15,13462.5
ДЦ,2025-02-15,2750.0
Массаж,2025-02-15,21720.5
Мероприятия ФД,2025-02-15,1100.0
СМ,2025-02-15,2730.0
ТЗ,2025-02-15,76126.25
ГП,2025-02-16,19105.0
ДЦ,2025-02-16,3220.0
Массаж,2025-02-16,10702.25
Мероприятия ФД,2025-02-16,5000.0
СМ,2025-02-16,2925.0
ТЗ,2025-02-16,29150.0
БК,2025-02-17,7751.25
ГП,2025-02-17,41062.5
ДЦ,2025-02-17,17863.0
Массаж,2025-02-17,25163.75
Мероприятия ФД,2025-02-17,24600.0
СМ,2025-02-17,5428.75
ТЗ,2025-02-17,106081.0
БК,2025-02-18,2127.5
ГП,2025-02-18,46256.75
ДЦ,2025-02-18,11062.0
Массаж,2025-02-18,22805.0
СМ,2025-02-18,7361.25
ТЗ,2025-02-18,128724.32
БК,2025-02-19,4295.0
ГП,2025-02-19,69366.0
ДЦ,2025-02-19,24434.0
Массаж,2025-02-19,24755.25
СМ,2025-02-19,3222.5
ТЗ,2025-02-19,116260.5
ГП,2025-02-20,64521.0
ДЦ,2025-02-20,12087.5
Массаж,2025-02-20,9105.0
Мероприятия ФД,2025-02-20,1300.0
СМ,2025-02-20,1950.0
ТЗ,2025-02-20,82122.25
БК,2025-02-21,4828.75
ГП,2025-02-21,48318.5
ДЦ,2025-02-21,10208.0
Массаж,2025-02-21,21417.5
Мероприятия ФД,2025-02-21,3600.0
СМ,2025-02-21,4875.0
ТЗ,2025-02-21,106253.25
БК,2025-02-22,1402.5
ГП,2025-02-22,38860.0
ДЦ,2025-02-22,2745.0
Массаж,2025-02-22,14305.0
СМ,2025-02-22,3753.75
ТЗ,2025-02-22,72753.0
ГП,2025-02-23,20637.5
ДЦ,2025-02-23,1357.5
Массаж,2025-02-23,12765.0
Мероприятия ФД,2025-02-23,7000.0
СМ,2025-02-23,1950.0
ТЗ,2025-02-23,28066.25
БК,2025-02-24,6215.0
ГП,2025-02-24,34334.75
ДЦ,2025-02-24,16358.0
Массаж,2025-02-24,18452.5
